# Multiplication encoding benchmark results
# Date: 2026-04-22T09:05:42+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-238-ga9dec53064-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
Starting (smt2, jobs=8, runs=3, timeout=120s)...
# smt2 suite
  [1661] cryptominisat/comba+brent-kung/strength_chain_16 = T/O
  [1660] cadical/comba+brent-kung/strength_chain_16 = T/O
  [1663] mergesat/comba+brent-kung/strength_chain_16 = T/O
  [1657] cryptominisat/comba+ripple/strength_chain_16 = 5.276198
  [1668] cadical/comba-cs+ripple/strength_chain_16 = .972214
  [1664] cadical/comba+g-only/strength_chain_16 = 1.455419
  [1670] minisat/comba-cs+ripple/strength_chain_16 = 1.757880
  [1671] mergesat/comba-cs+ripple/strength_chain_16 = 1.945151
  [1669] cryptominisat/comba-cs+ripple/strength_chain_16 = 2.001666
  [1666] minisat/comba+g-only/strength_chain_16 = 2.560004
  [1665] cryptominisat/comba+g-only/strength_chain_16 = 5.568453
  [1667] mergesat/comba+g-only/strength_chain_16 = 6.587532
  [1676] cadical/comba-cs+g-only/strength_chain_16 = .845756
  [1672] cadical/comba-cs+brent-kung/strength_chain_16 = 1.054323
  [1677] cryptominisat/comba-cs+g-only/strength_chain_16 = 1.828952
  [1675] mergesat/comba-cs+brent-kung/strength_chain_16 = 1.910121
  [1678] minisat/comba-cs+g-only/strength_chain_16 = 1.961259
  [1673] cryptominisat/comba-cs+brent-kung/strength_chain_16 = 2.352134
  [1679] mergesat/comba-cs+g-only/strength_chain_16 = 2.477842
  [1674] minisat/comba-cs+brent-kung/strength_chain_16 = 3.477617
  [1682] minisat/shift-add+ripple/strength_red_16 = .012964
  [1681] cryptominisat/shift-add+ripple/strength_red_16 = .017749
  [1685] cryptominisat/shift-add+brent-kung/strength_red_16 = .024554
  [1680] cadical/shift-add+ripple/strength_red_16 = .028512
  [1686] minisat/shift-add+brent-kung/strength_red_16 = .028224
  [1684] cadical/shift-add+brent-kung/strength_red_16 = .034372
  [1687] mergesat/shift-add+brent-kung/strength_red_16 = .049694
  [1683] mergesat/shift-add+ripple/strength_red_16 = .088353
  [1690] minisat/shift-add+g-only/strength_red_16 = .013122
  [1693] cryptominisat/dadda+ripple/strength_red_16 = .014147
  [1694] minisat/dadda+ripple/strength_red_16 = .015491
  [1692] cadical/dadda+ripple/strength_red_16 = .018966
  [1689] cryptominisat/shift-add+g-only/strength_red_16 = .019400
  [1688] cadical/shift-add+g-only/strength_red_16 = .021552
  [1695] mergesat/dadda+ripple/strength_red_16 = .064991
  [1691] mergesat/shift-add+g-only/strength_red_16 = .068149
  [1702] minisat/dadda+g-only/strength_red_16 = .010982
  [1700] cadical/dadda+g-only/strength_red_16 = .018765
  [1701] cryptominisat/dadda+g-only/strength_red_16 = .019842
  [1697] cryptominisat/dadda+brent-kung/strength_red_16 = .028238
  [1696] cadical/dadda+brent-kung/strength_red_16 = .032157
  [1698] minisat/dadda+brent-kung/strength_red_16 = .034972
  [1703] mergesat/dadda+g-only/strength_red_16 = .052960
  [1699] mergesat/dadda+brent-kung/strength_red_16 = .093371
  [1705] cryptominisat/comba+ripple/strength_red_16 = .029003
  [1706] minisat/comba+ripple/strength_red_16 = .029545
  [1704] cadical/comba+ripple/strength_red_16 = .045418
  [1707] mergesat/comba+ripple/strength_red_16 = .123568
  [1711] mergesat/comba+brent-kung/strength_red_16 = T/O
  [1710] minisat/comba+brent-kung/strength_red_16 = T/O
  [1708] cadical/comba+brent-kung/strength_red_16 = T/O
  [1709] cryptominisat/comba+brent-kung/strength_red_16 = T/O
  [1718] minisat/comba-cs+ripple/strength_red_16 = .012425
  [1716] cadical/comba-cs+ripple/strength_red_16 = .016048
  [1717] cryptominisat/comba-cs+ripple/strength_red_16 = .018271
  [1714] minisat/comba+g-only/strength_red_16 = .034646
  [1713] cryptominisat/comba+g-only/strength_red_16 = .038622
  [1719] mergesat/comba-cs+ripple/strength_red_16 = .038147
  [1712] cadical/comba+g-only/strength_red_16 = .044452
  [1715] mergesat/comba+g-only/strength_red_16 = .079624
  [1726] minisat/comba-cs+g-only/strength_red_16 = .012000
  [1725] cryptominisat/comba-cs+g-only/strength_red_16 = .015536
  [1724] cadical/comba-cs+g-only/strength_red_16 = .016313
  [1722] minisat/comba-cs+brent-kung/strength_red_16 = .019542
  [1721] cryptominisat/comba-cs+brent-kung/strength_red_16 = .019993
  [1720] cadical/comba-cs+brent-kung/strength_red_16 = .027189
  [1723] mergesat/comba-cs+brent-kung/strength_red_16 = .077650
  [1727] mergesat/comba-cs+g-only/strength_red_16 = .104522
All 1728 jobs complete.
smt2	cadical	comba	brent-kung	add_chain_16	.916149
smt2	cadical	comba	g-only	add_chain_16	.179559
smt2	cadical	comba	ripple	add_chain_16	.176580
smt2	cadical	comba-cs	brent-kung	add_chain_16	.917274
smt2	cadical	comba-cs	g-only	add_chain_16	.179720
smt2	cadical	comba-cs	ripple	add_chain_16	.176636
smt2	cadical	dadda	brent-kung	add_chain_16	.916020
smt2	cadical	dadda	g-only	add_chain_16	.179492
smt2	cadical	dadda	ripple	add_chain_16	.176977
smt2	cadical	shift-add	brent-kung	add_chain_16	.916193
smt2	cadical	shift-add	g-only	add_chain_16	.179429
smt2	cadical	shift-add	ripple	add_chain_16	.176670
smt2	cryptominisat	comba	brent-kung	add_chain_16	4.883233
smt2	cryptominisat	comba	g-only	add_chain_16	.558743
smt2	cryptominisat	comba	ripple	add_chain_16	.542160
smt2	cryptominisat	comba-cs	brent-kung	add_chain_16	4.877706
smt2	cryptominisat	comba-cs	g-only	add_chain_16	.558719
smt2	cryptominisat	comba-cs	ripple	add_chain_16	.543686
smt2	cryptominisat	dadda	brent-kung	add_chain_16	4.866600
smt2	cryptominisat	dadda	g-only	add_chain_16	.557471
smt2	cryptominisat	dadda	ripple	add_chain_16	.543622
smt2	cryptominisat	shift-add	brent-kung	add_chain_16	4.856381
smt2	cryptominisat	shift-add	g-only	add_chain_16	.558355
smt2	cryptominisat	shift-add	ripple	add_chain_16	.544835
smt2	mergesat	comba	brent-kung	add_chain_16	1.792080
smt2	mergesat	comba	g-only	add_chain_16	.390309
smt2	mergesat	comba	ripple	add_chain_16	.372432
smt2	mergesat	comba-cs	brent-kung	add_chain_16	1.790269
smt2	mergesat	comba-cs	g-only	add_chain_16	.389899
smt2	mergesat	comba-cs	ripple	add_chain_16	.371801
smt2	mergesat	dadda	brent-kung	add_chain_16	1.792784
smt2	mergesat	dadda	g-only	add_chain_16	.389858
smt2	mergesat	dadda	ripple	add_chain_16	.372868
smt2	mergesat	shift-add	brent-kung	add_chain_16	1.786845
smt2	mergesat	shift-add	g-only	add_chain_16	.389120
smt2	mergesat	shift-add	ripple	add_chain_16	.373026
smt2	minisat	comba	brent-kung	add_chain_16	2.618985
smt2	minisat	comba	g-only	add_chain_16	.356011
smt2	minisat	comba	ripple	add_chain_16	.495988
smt2	minisat	comba-cs	brent-kung	add_chain_16	2.615049
smt2	minisat	comba-cs	g-only	add_chain_16	.355258
smt2	minisat	comba-cs	ripple	add_chain_16	.496271
smt2	minisat	dadda	brent-kung	add_chain_16	2.614943
smt2	minisat	dadda	g-only	add_chain_16	.355335
smt2	minisat	dadda	ripple	add_chain_16	.496524
smt2	minisat	shift-add	brent-kung	add_chain_16	2.619156
smt2	minisat	shift-add	g-only	add_chain_16	.355200
smt2	minisat	shift-add	ripple	add_chain_16	.496096
smt2	cadical	comba	brent-kung	add_chain_32	1.695881
smt2	cadical	comba	g-only	add_chain_32	.325475
smt2	cadical	comba	ripple	add_chain_32	.458430
smt2	cadical	comba-cs	brent-kung	add_chain_32	1.694323
smt2	cadical	comba-cs	g-only	add_chain_32	.326083
smt2	cadical	comba-cs	ripple	add_chain_32	.458864
smt2	cadical	dadda	brent-kung	add_chain_32	1.699537
smt2	cadical	dadda	g-only	add_chain_32	.326098
smt2	cadical	dadda	ripple	add_chain_32	.459398
smt2	cadical	shift-add	brent-kung	add_chain_32	1.695372
smt2	cadical	shift-add	g-only	add_chain_32	.325643
smt2	cadical	shift-add	ripple	add_chain_32	.458482
smt2	cryptominisat	comba	brent-kung	add_chain_32	11.342933
smt2	cryptominisat	comba	g-only	add_chain_32	1.889040
smt2	cryptominisat	comba	ripple	add_chain_32	1.809016
smt2	cryptominisat	comba-cs	brent-kung	add_chain_32	11.296133
smt2	cryptominisat	comba-cs	g-only	add_chain_32	1.904089
smt2	cryptominisat	comba-cs	ripple	add_chain_32	1.806412
smt2	cryptominisat	dadda	brent-kung	add_chain_32	11.288294
smt2	cryptominisat	dadda	g-only	add_chain_32	1.902662
smt2	cryptominisat	dadda	ripple	add_chain_32	1.808854
smt2	cryptominisat	shift-add	brent-kung	add_chain_32	11.272314
smt2	cryptominisat	shift-add	g-only	add_chain_32	1.891235
smt2	cryptominisat	shift-add	ripple	add_chain_32	1.812877
smt2	mergesat	comba	brent-kung	add_chain_32	3.250035
smt2	mergesat	comba	g-only	add_chain_32	.763463
smt2	mergesat	comba	ripple	add_chain_32	.981458
smt2	mergesat	comba-cs	brent-kung	add_chain_32	3.253290
smt2	mergesat	comba-cs	g-only	add_chain_32	.763456
smt2	mergesat	comba-cs	ripple	add_chain_32	.978153
smt2	mergesat	dadda	brent-kung	add_chain_32	3.258492
smt2	mergesat	dadda	g-only	add_chain_32	.766413
smt2	mergesat	dadda	ripple	add_chain_32	.978968
smt2	mergesat	shift-add	brent-kung	add_chain_32	3.259445
smt2	mergesat	shift-add	g-only	add_chain_32	.763646
smt2	mergesat	shift-add	ripple	add_chain_32	.980733
smt2	minisat	comba	brent-kung	add_chain_32	10.145649
smt2	minisat	comba	g-only	add_chain_32	3.009301
smt2	minisat	comba	ripple	add_chain_32	2.520462
smt2	minisat	comba-cs	brent-kung	add_chain_32	10.147836
smt2	minisat	comba-cs	g-only	add_chain_32	3.009377
smt2	minisat	comba-cs	ripple	add_chain_32	2.519327
smt2	minisat	dadda	brent-kung	add_chain_32	10.146409
smt2	minisat	dadda	g-only	add_chain_32	3.009778
smt2	minisat	dadda	ripple	add_chain_32	2.525192
smt2	minisat	shift-add	brent-kung	add_chain_32	10.150551
smt2	minisat	shift-add	g-only	add_chain_32	3.009741
smt2	minisat	shift-add	ripple	add_chain_32	2.521558
smt2	cadical	comba	brent-kung	add_overflow_16	T/O
smt2	cadical	comba	g-only	add_overflow_16	.008574
smt2	cadical	comba	ripple	add_overflow_16	.008143
smt2	cadical	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cadical	comba-cs	g-only	add_overflow_16	.008087
smt2	cadical	comba-cs	ripple	add_overflow_16	.008240
smt2	cadical	dadda	brent-kung	add_overflow_16	T/O
smt2	cadical	dadda	g-only	add_overflow_16	.008013
smt2	cadical	dadda	ripple	add_overflow_16	.008094
smt2	cadical	shift-add	brent-kung	add_overflow_16	T/O
smt2	cadical	shift-add	g-only	add_overflow_16	.008557
smt2	cadical	shift-add	ripple	add_overflow_16	.007779
smt2	cryptominisat	comba	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba	g-only	add_overflow_16	.009587
smt2	cryptominisat	comba	ripple	add_overflow_16	.009067
smt2	cryptominisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba-cs	g-only	add_overflow_16	.008896
smt2	cryptominisat	comba-cs	ripple	add_overflow_16	.009077
smt2	cryptominisat	dadda	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	dadda	g-only	add_overflow_16	.008930
smt2	cryptominisat	dadda	ripple	add_overflow_16	.008908
smt2	cryptominisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	shift-add	g-only	add_overflow_16	.009548
smt2	cryptominisat	shift-add	ripple	add_overflow_16	.008587
smt2	mergesat	comba	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba	g-only	add_overflow_16	.010049
smt2	mergesat	comba	ripple	add_overflow_16	.009947
smt2	mergesat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba-cs	g-only	add_overflow_16	.009610
smt2	mergesat	comba-cs	ripple	add_overflow_16	.009984
smt2	mergesat	dadda	brent-kung	add_overflow_16	T/O
smt2	mergesat	dadda	g-only	add_overflow_16	.009394
smt2	mergesat	dadda	ripple	add_overflow_16	.009986
smt2	mergesat	shift-add	brent-kung	add_overflow_16	T/O
smt2	mergesat	shift-add	g-only	add_overflow_16	.010143
smt2	mergesat	shift-add	ripple	add_overflow_16	.009456
smt2	minisat	comba	brent-kung	add_overflow_16	T/O
smt2	minisat	comba	g-only	add_overflow_16	.008309
smt2	minisat	comba	ripple	add_overflow_16	.008348
smt2	minisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	minisat	comba-cs	g-only	add_overflow_16	.007768
smt2	minisat	comba-cs	ripple	add_overflow_16	.008455
smt2	minisat	dadda	brent-kung	add_overflow_16	T/O
smt2	minisat	dadda	g-only	add_overflow_16	.007770
smt2	minisat	dadda	ripple	add_overflow_16	.008456
smt2	minisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	minisat	shift-add	g-only	add_overflow_16	.008493
smt2	minisat	shift-add	ripple	add_overflow_16	.007884
smt2	cadical	comba	brent-kung	add_sub_cancel_16	.014927
smt2	cadical	comba	g-only	add_sub_cancel_16	.008298
smt2	cadical	comba	ripple	add_sub_cancel_16	.008618
smt2	cadical	comba-cs	brent-kung	add_sub_cancel_16	.015207
smt2	cadical	comba-cs	g-only	add_sub_cancel_16	.008230
smt2	cadical	comba-cs	ripple	add_sub_cancel_16	.008565
smt2	cadical	dadda	brent-kung	add_sub_cancel_16	.015202
smt2	cadical	dadda	g-only	add_sub_cancel_16	.008228
smt2	cadical	dadda	ripple	add_sub_cancel_16	.008480
smt2	cadical	shift-add	brent-kung	add_sub_cancel_16	.015406
smt2	cadical	shift-add	g-only	add_sub_cancel_16	.008295
smt2	cadical	shift-add	ripple	add_sub_cancel_16	.009332
smt2	cryptominisat	comba	brent-kung	add_sub_cancel_16	.010401
smt2	cryptominisat	comba	g-only	add_sub_cancel_16	.008342
smt2	cryptominisat	comba	ripple	add_sub_cancel_16	.007792
smt2	cryptominisat	comba-cs	brent-kung	add_sub_cancel_16	.010316
smt2	cryptominisat	comba-cs	g-only	add_sub_cancel_16	.008247
smt2	cryptominisat	comba-cs	ripple	add_sub_cancel_16	.007885
smt2	cryptominisat	dadda	brent-kung	add_sub_cancel_16	.010345
smt2	cryptominisat	dadda	g-only	add_sub_cancel_16	.008296
smt2	cryptominisat	dadda	ripple	add_sub_cancel_16	.007909
smt2	cryptominisat	shift-add	brent-kung	add_sub_cancel_16	.010604
smt2	cryptominisat	shift-add	g-only	add_sub_cancel_16	.008499
smt2	cryptominisat	shift-add	ripple	add_sub_cancel_16	.008563
smt2	mergesat	comba	brent-kung	add_sub_cancel_16	.016269
smt2	mergesat	comba	g-only	add_sub_cancel_16	.012472
smt2	mergesat	comba	ripple	add_sub_cancel_16	.010399
smt2	mergesat	comba-cs	brent-kung	add_sub_cancel_16	.016268
smt2	mergesat	comba-cs	g-only	add_sub_cancel_16	.012424
smt2	mergesat	comba-cs	ripple	add_sub_cancel_16	.010713
smt2	mergesat	dadda	brent-kung	add_sub_cancel_16	.016393
smt2	mergesat	dadda	g-only	add_sub_cancel_16	.012383
smt2	mergesat	dadda	ripple	add_sub_cancel_16	.010487
smt2	mergesat	shift-add	brent-kung	add_sub_cancel_16	.016628
smt2	mergesat	shift-add	g-only	add_sub_cancel_16	.012526
smt2	mergesat	shift-add	ripple	add_sub_cancel_16	.011047
smt2	minisat	comba	brent-kung	add_sub_cancel_16	.011149
smt2	minisat	comba	g-only	add_sub_cancel_16	.007517
smt2	minisat	comba	ripple	add_sub_cancel_16	.007716
smt2	minisat	comba-cs	brent-kung	add_sub_cancel_16	.011241
smt2	minisat	comba-cs	g-only	add_sub_cancel_16	.007379
smt2	minisat	comba-cs	ripple	add_sub_cancel_16	.007590
smt2	minisat	dadda	brent-kung	add_sub_cancel_16	.011292
smt2	minisat	dadda	g-only	add_sub_cancel_16	.007428
smt2	minisat	dadda	ripple	add_sub_cancel_16	.007728
smt2	minisat	shift-add	brent-kung	add_sub_cancel_16	.011791
smt2	minisat	shift-add	g-only	add_sub_cancel_16	.007520
smt2	minisat	shift-add	ripple	add_sub_cancel_16	.008332
smt2	cadical	comba	brent-kung	assoc_8	T/O
smt2	cadical	comba	g-only	assoc_8	T/O
smt2	cadical	comba	ripple	assoc_8	119.152948
smt2	cadical	comba-cs	brent-kung	assoc_8	T/O
smt2	cadical	comba-cs	g-only	assoc_8	T/O
smt2	cadical	comba-cs	ripple	assoc_8	T/O
smt2	cadical	dadda	brent-kung	assoc_8	T/O
smt2	cadical	dadda	g-only	assoc_8	T/O
smt2	cadical	dadda	ripple	assoc_8	T/O
smt2	cadical	shift-add	brent-kung	assoc_8	27.182469
smt2	cadical	shift-add	g-only	assoc_8	27.147648
smt2	cadical	shift-add	ripple	assoc_8	27.156395
smt2	cryptominisat	comba	brent-kung	assoc_8	T/O
smt2	cryptominisat	comba	g-only	assoc_8	T/O
smt2	cryptominisat	comba	ripple	assoc_8	T/O
smt2	cryptominisat	comba-cs	brent-kung	assoc_8	T/O
smt2	cryptominisat	comba-cs	g-only	assoc_8	T/O
smt2	cryptominisat	comba-cs	ripple	assoc_8	T/O
smt2	cryptominisat	dadda	brent-kung	assoc_8	T/O
smt2	cryptominisat	dadda	g-only	assoc_8	T/O
smt2	cryptominisat	dadda	ripple	assoc_8	T/O
smt2	cryptominisat	shift-add	brent-kung	assoc_8	86.024839
smt2	cryptominisat	shift-add	g-only	assoc_8	86.353658
smt2	cryptominisat	shift-add	ripple	assoc_8	86.057674
smt2	mergesat	comba	brent-kung	assoc_8	T/O
smt2	mergesat	comba	g-only	assoc_8	T/O
smt2	mergesat	comba	ripple	assoc_8	T/O
smt2	mergesat	comba-cs	brent-kung	assoc_8	T/O
smt2	mergesat	comba-cs	g-only	assoc_8	T/O
smt2	mergesat	comba-cs	ripple	assoc_8	T/O
smt2	mergesat	dadda	brent-kung	assoc_8	T/O
smt2	mergesat	dadda	g-only	assoc_8	T/O
smt2	mergesat	dadda	ripple	assoc_8	T/O
smt2	mergesat	shift-add	brent-kung	assoc_8	103.083049
smt2	mergesat	shift-add	g-only	assoc_8	103.728709
smt2	mergesat	shift-add	ripple	assoc_8	103.460495
smt2	minisat	comba	brent-kung	assoc_8	T/O
smt2	minisat	comba	g-only	assoc_8	T/O
smt2	minisat	comba	ripple	assoc_8	T/O
smt2	minisat	comba-cs	brent-kung	assoc_8	T/O
smt2	minisat	comba-cs	g-only	assoc_8	T/O
smt2	minisat	comba-cs	ripple	assoc_8	T/O
smt2	minisat	dadda	brent-kung	assoc_8	T/O
smt2	minisat	dadda	g-only	assoc_8	T/O
smt2	minisat	dadda	ripple	assoc_8	T/O
smt2	minisat	shift-add	brent-kung	assoc_8	T/O
smt2	minisat	shift-add	g-only	assoc_8	T/O
smt2	minisat	shift-add	ripple	assoc_8	T/O
smt2	cadical	comba	brent-kung	barrett_red_8	T/O
smt2	cadical	comba	g-only	barrett_red_8	.018117
smt2	cadical	comba	ripple	barrett_red_8	.016211
smt2	cadical	comba-cs	brent-kung	barrett_red_8	.012588
smt2	cadical	comba-cs	g-only	barrett_red_8	.012309
smt2	cadical	comba-cs	ripple	barrett_red_8	.012529
smt2	cadical	dadda	brent-kung	barrett_red_8	.013593
smt2	cadical	dadda	g-only	barrett_red_8	.012559
smt2	cadical	dadda	ripple	barrett_red_8	.012340
smt2	cadical	shift-add	brent-kung	barrett_red_8	.012892
smt2	cadical	shift-add	g-only	barrett_red_8	.012610
smt2	cadical	shift-add	ripple	barrett_red_8	.012394
smt2	cryptominisat	comba	brent-kung	barrett_red_8	T/O
smt2	cryptominisat	comba	g-only	barrett_red_8	.021173
smt2	cryptominisat	comba	ripple	barrett_red_8	.017672
smt2	cryptominisat	comba-cs	brent-kung	barrett_red_8	.007539
smt2	cryptominisat	comba-cs	g-only	barrett_red_8	.007228
smt2	cryptominisat	comba-cs	ripple	barrett_red_8	.007756
smt2	cryptominisat	dadda	brent-kung	barrett_red_8	.007672
smt2	cryptominisat	dadda	g-only	barrett_red_8	.007713
smt2	cryptominisat	dadda	ripple	barrett_red_8	.006969
smt2	cryptominisat	shift-add	brent-kung	barrett_red_8	.007458
smt2	cryptominisat	shift-add	g-only	barrett_red_8	.007288
smt2	cryptominisat	shift-add	ripple	barrett_red_8	.007187
smt2	mergesat	comba	brent-kung	barrett_red_8	T/O
smt2	mergesat	comba	g-only	barrett_red_8	.014456
smt2	mergesat	comba	ripple	barrett_red_8	.012712
smt2	mergesat	comba-cs	brent-kung	barrett_red_8	.008083
smt2	mergesat	comba-cs	g-only	barrett_red_8	.007474
smt2	mergesat	comba-cs	ripple	barrett_red_8	.007936
smt2	mergesat	dadda	brent-kung	barrett_red_8	.008638
smt2	mergesat	dadda	g-only	barrett_red_8	.009044
smt2	mergesat	dadda	ripple	barrett_red_8	.007502
smt2	mergesat	shift-add	brent-kung	barrett_red_8	.008917
smt2	mergesat	shift-add	g-only	barrett_red_8	.007907
smt2	mergesat	shift-add	ripple	barrett_red_8	.007750
smt2	minisat	comba	brent-kung	barrett_red_8	T/O
smt2	minisat	comba	g-only	barrett_red_8	.009659
smt2	minisat	comba	ripple	barrett_red_8	.008446
smt2	minisat	comba-cs	brent-kung	barrett_red_8	.006766
smt2	minisat	comba-cs	g-only	barrett_red_8	.006592
smt2	minisat	comba-cs	ripple	barrett_red_8	.007028
smt2	minisat	dadda	brent-kung	barrett_red_8	.007267
smt2	minisat	dadda	g-only	barrett_red_8	.006626
smt2	minisat	dadda	ripple	barrett_red_8	.006503
smt2	minisat	shift-add	brent-kung	barrett_red_8	.006777
smt2	minisat	shift-add	g-only	barrett_red_8	.006667
smt2	minisat	shift-add	ripple	barrett_red_8	.006679
smt2	cadical	comba	brent-kung	bf16_mul_comm	.009609
smt2	cadical	comba	g-only	bf16_mul_comm	.009641
smt2	cadical	comba	ripple	bf16_mul_comm	.009563
smt2	cadical	comba-cs	brent-kung	bf16_mul_comm	.008849
smt2	cadical	comba-cs	g-only	bf16_mul_comm	.008920
smt2	cadical	comba-cs	ripple	bf16_mul_comm	.008669
smt2	cadical	dadda	brent-kung	bf16_mul_comm	.008965
smt2	cadical	dadda	g-only	bf16_mul_comm	.008737
smt2	cadical	dadda	ripple	bf16_mul_comm	.008787
smt2	cadical	shift-add	brent-kung	bf16_mul_comm	.008623
smt2	cadical	shift-add	g-only	bf16_mul_comm	.008643
smt2	cadical	shift-add	ripple	bf16_mul_comm	.008658
smt2	cryptominisat	comba	brent-kung	bf16_mul_comm	.044514
smt2	cryptominisat	comba	g-only	bf16_mul_comm	.044541
smt2	cryptominisat	comba	ripple	bf16_mul_comm	.044467
smt2	cryptominisat	comba-cs	brent-kung	bf16_mul_comm	.236786
smt2	cryptominisat	comba-cs	g-only	bf16_mul_comm	.236562
smt2	cryptominisat	comba-cs	ripple	bf16_mul_comm	.234729
smt2	cryptominisat	dadda	brent-kung	bf16_mul_comm	.044500
smt2	cryptominisat	dadda	g-only	bf16_mul_comm	.044270
smt2	cryptominisat	dadda	ripple	bf16_mul_comm	.044576
smt2	cryptominisat	shift-add	brent-kung	bf16_mul_comm	.275276
smt2	cryptominisat	shift-add	g-only	bf16_mul_comm	.272874
smt2	cryptominisat	shift-add	ripple	bf16_mul_comm	.275403
smt2	mergesat	comba	brent-kung	bf16_mul_comm	.057903
smt2	mergesat	comba	g-only	bf16_mul_comm	.057374
smt2	mergesat	comba	ripple	bf16_mul_comm	.057251
smt2	mergesat	comba-cs	brent-kung	bf16_mul_comm	.031854
smt2	mergesat	comba-cs	g-only	bf16_mul_comm	.031674
smt2	mergesat	comba-cs	ripple	bf16_mul_comm	.031961
smt2	mergesat	dadda	brent-kung	bf16_mul_comm	.030832
smt2	mergesat	dadda	g-only	bf16_mul_comm	.030901
smt2	mergesat	dadda	ripple	bf16_mul_comm	.030984
smt2	mergesat	shift-add	brent-kung	bf16_mul_comm	.042689
smt2	mergesat	shift-add	g-only	bf16_mul_comm	.042575
smt2	mergesat	shift-add	ripple	bf16_mul_comm	.042623
smt2	minisat	comba	brent-kung	bf16_mul_comm	.025073
smt2	minisat	comba	g-only	bf16_mul_comm	.024964
smt2	minisat	comba	ripple	bf16_mul_comm	.025001
smt2	minisat	comba-cs	brent-kung	bf16_mul_comm	.039621
smt2	minisat	comba-cs	g-only	bf16_mul_comm	.039589
smt2	minisat	comba-cs	ripple	bf16_mul_comm	.039518
smt2	minisat	dadda	brent-kung	bf16_mul_comm	.031450
smt2	minisat	dadda	g-only	bf16_mul_comm	.031294
smt2	minisat	dadda	ripple	bf16_mul_comm	.031347
smt2	minisat	shift-add	brent-kung	bf16_mul_comm	.044541
smt2	minisat	shift-add	g-only	bf16_mul_comm	.044258
smt2	minisat	shift-add	ripple	bf16_mul_comm	.044499
smt2	cadical	comba	brent-kung	bf16_mul_comm_v2	10.587547
smt2	cadical	comba	g-only	bf16_mul_comm_v2	10.608800
smt2	cadical	comba	ripple	bf16_mul_comm_v2	10.585161
smt2	cadical	comba-cs	brent-kung	bf16_mul_comm_v2	11.203537
smt2	cadical	comba-cs	g-only	bf16_mul_comm_v2	11.166050
smt2	cadical	comba-cs	ripple	bf16_mul_comm_v2	11.176149
smt2	cadical	dadda	brent-kung	bf16_mul_comm_v2	27.926345
smt2	cadical	dadda	g-only	bf16_mul_comm_v2	27.892932
smt2	cadical	dadda	ripple	bf16_mul_comm_v2	27.980974
smt2	cadical	shift-add	brent-kung	bf16_mul_comm_v2	22.797217
smt2	cadical	shift-add	g-only	bf16_mul_comm_v2	22.865233
smt2	cadical	shift-add	ripple	bf16_mul_comm_v2	22.929060
smt2	cryptominisat	comba	brent-kung	bf16_mul_comm_v2	42.546276
smt2	cryptominisat	comba	g-only	bf16_mul_comm_v2	42.373249
smt2	cryptominisat	comba	ripple	bf16_mul_comm_v2	42.550413
smt2	cryptominisat	comba-cs	brent-kung	bf16_mul_comm_v2	48.609554
smt2	cryptominisat	comba-cs	g-only	bf16_mul_comm_v2	48.667565
smt2	cryptominisat	comba-cs	ripple	bf16_mul_comm_v2	48.289205
smt2	cryptominisat	dadda	brent-kung	bf16_mul_comm_v2	58.866503
smt2	cryptominisat	dadda	g-only	bf16_mul_comm_v2	58.598716
smt2	cryptominisat	dadda	ripple	bf16_mul_comm_v2	57.835478
smt2	cryptominisat	shift-add	brent-kung	bf16_mul_comm_v2	51.271931
smt2	cryptominisat	shift-add	g-only	bf16_mul_comm_v2	51.384647
smt2	cryptominisat	shift-add	ripple	bf16_mul_comm_v2	51.351984
smt2	mergesat	comba	brent-kung	bf16_mul_comm_v2	T/O
smt2	mergesat	comba	g-only	bf16_mul_comm_v2	T/O
smt2	mergesat	comba	ripple	bf16_mul_comm_v2	T/O
smt2	mergesat	comba-cs	brent-kung	bf16_mul_comm_v2	119.694567
smt2	mergesat	comba-cs	g-only	bf16_mul_comm_v2	118.952461
smt2	mergesat	comba-cs	ripple	bf16_mul_comm_v2	118.557100
smt2	mergesat	dadda	brent-kung	bf16_mul_comm_v2	110.881880
